km,station,train_id,time,hr,min,scenario
17,SOUTH SAN FRANCISCO ,REG (C-EXP) 5_multi_1,463,7,43,Baseline SB
24,MILLBRAE,REG (C-EXP) 5_multi_1,468,7,48,Baseline SB
29,BURLINGAME,REG (C-EXP) 5_multi_1,472,7,52,Baseline SB
31,SAN MATEO,REG (C-EXP) 5_multi_1,475,7,55,Baseline SB
35,HILLSDALE,REG (C-EXP) 5_multi_1,478,7,58,Baseline SB
43,REDWOOD CITY,REG (C-EXP) 5_multi_1,484,8,4,Baseline SB
47,ATHERTON,REG (C-EXP) 5_multi_1,488,8,8,Baseline SB
51,PALO ALTO,REG (C-EXP) 5_multi_1,491,8,11,Baseline SB
60,MOUNTAIN VIEW,REG (C-EXP) 5_multi_1,498,8,18,Baseline SB
68,LAWRENCE,REG (C-EXP) 5_multi_1,507,8,27,Baseline SB
0,SALESFORCE TRANSIT CENTER (STC) $,HSR 811_single_24,460,7,40,Baseline SB
24,MILLBRAE,HSR 811_single_24,480,8,0,Baseline SB
78,SAN JOSE,HSR 811_single_24,515,8,35,Baseline SB
126,GILROY (HSR) $,HSR 811_single_24,541,9,1,Baseline SB
78,SAN JOSE,REG (C-EXP) 5_multi_1,518,8,38,Baseline SB
81,TAMIEN (HSR) $,REG (C-EXP) 5_multi_1,521,8,41,Baseline SB
0,SALESFORCE TRANSIT CENTER (STC) $,REG (C-EXP) 413_multi_1,463,7,43,Baseline SB
2,TOWNSEND / 4TH AND KING $,REG (C-EXP) 413_multi_1,468,7,48,Baseline SB
11,BAYSHORE,REG (C-EXP) 413_multi_1,479,7,59,Baseline SB
24,MILLBRAE,REG (C-EXP) 413_multi_1,488,8,8,Baseline SB
27,BROADWAY,REG (C-EXP) 413_multi_1,491,8,11,Baseline SB
33,HAYWARD PARK,REG (C-EXP) 413_multi_1,495,8,15,Baseline SB
35,HILLSDALE,REG (C-EXP) 413_multi_1,498,8,18,Baseline SB
40,SAN CARLOS,REG (C-EXP) 413_multi_1,502,8,22,Baseline SB
43,REDWOOD CITY,REG (C-EXP) 413_multi_1,506,8,26,Baseline SB
51,PALO ALTO,REG (C-EXP) 413_multi_1,511,8,31,Baseline SB
57,SAN ANTONIO,REG (C-EXP) 413_multi_1,515,8,35,Baseline SB
60,MOUNTAIN VIEW,REG (C-EXP) 413_multi_1,519,8,39,Baseline SB
65,SUNNYVALE,REG (C-EXP) 413_multi_1,523,8,43,Baseline SB
68,LAWRENCE,REG (C-EXP) 413_multi_1,526,8,46,Baseline SB
0,SALESFORCE TRANSIT CENTER (STC) $,HSR 911_single_25,466,7,46,Baseline SB
2,TOWNSEND / 4TH AND KING $,HSR 911_single_25,471,7,51,Baseline SB
78,SAN JOSE,HSR 911_single_25,522,8,42,Baseline SB
126,GILROY (HSR) $,HSR 911_single_25,547,9,7,Baseline SB
78,SAN JOSE,IC (HSR) 707_single_26,528,8,48,Baseline SB
126,GILROY (HSR) $,IC (HSR) 707_single_26,553,9,13,Baseline SB
78,SAN JOSE,IC (HSR) 761_single_27,534,8,54,Baseline SB
126,GILROY (HSR) $,IC (HSR) 761_single_27,559,9,19,Baseline SB
78,SAN JOSE,REG (C-EXP) 413_multi_1,536,8,56,Baseline SB
81,TAMIEN (HSR) $,REG (C-EXP) 413_multi_1,539,8,59,Baseline SB
0,SALESFORCE TRANSIT CENTER (STC) $,REG (C-EXP) 513_single_28,471,7,51,Baseline SB
2,TOWNSEND / 4TH AND KING $,REG (C-EXP) 513_single_28,476,7,56,Baseline SB
5,22nd STREET,REG (C-EXP) 513_single_28,481,8,1,Baseline SB
20,SAN BRUNO,REG (C-EXP) 513_single_28,489,8,9,Baseline SB
24,MILLBRAE,REG (C-EXP) 513_single_28,493,8,13,Baseline SB
31,SAN MATEO,REG (C-EXP) 513_single_28,497,8,17,Baseline SB
35,HILLSDALE,REG (C-EXP) 513_single_28,502,8,22,Baseline SB
38,BELMONT,REG (C-EXP) 513_single_28,505,8,25,Baseline SB
49,MENLO PARK,REG (C-EXP) 513_single_28,512,8,32,Baseline SB
51,PALO ALTO,REG (C-EXP) 513_single_28,515,8,35,Baseline SB
53,CALIFORNIA AVENUE,REG (C-EXP) 513_single_28,518,8,38,Baseline SB
60,MOUNTAIN VIEW,REG (C-EXP) 513_single_28,523,8,43,Baseline SB
65,SUNNYVALE,REG (C-EXP) 513_single_28,527,8,47,Baseline SB
74,SANTA CLARA,REG (C-EXP) 513_single_28,533,8,53,Baseline SB
