,scenario,departure_station,arrival_station,departure_hour,count_journey_time,mean_journey_time,min_journey_time,max_journey_time,count_wait_time,mean_wait_time,min_wait_time,max_wait_time
777,Existing,Bayshore Caltrain,South San Francisco Caltrain,8,1,7.0,7,7,60,21.333333333333332,0.0,45.0
778,Existing,Bayshore Caltrain,South San Francisco Caltrain,9,1,7.0,7,7,60,28.683333333333334,0.0,58.0
779,Existing,Bayshore Caltrain,South San Francisco Caltrain,10,1,7.0,7,7,60,29.5,0.0,59.0
780,Existing,Bayshore Caltrain,South San Francisco Caltrain,11,1,7.0,7,7,60,29.5,0.0,59.0
781,Existing,Bayshore Caltrain,South San Francisco Caltrain,12,1,7.0,7,7,60,29.5,0.0,59.0
782,Existing,Bayshore Caltrain,South San Francisco Caltrain,13,1,7.0,7,7,60,29.5,0.0,59.0
783,Existing,Bayshore Caltrain,South San Francisco Caltrain,14,1,7.0,7,7,60,29.5,0.0,59.0
784,Existing,Bayshore Caltrain,South San Francisco Caltrain,15,1,7.0,7,7,60,56.166666666666664,0.0,91.0
785,Existing,Bayshore Caltrain,South San Francisco Caltrain,16,1,11.0,11,11,60,29.8,0.0,60.0
786,Existing,Bayshore Caltrain,South San Francisco Caltrain,17,1,9.0,9,9,60,29.216666666666665,0.0,58.0
787,Existing,Bayshore Caltrain,South San Francisco Caltrain,18,1,11.0,11,11,60,28.9,0.0,57.0
788,Existing,Bayshore Caltrain,South San Francisco Caltrain,19,1,7.0,7,7,60,29.5,0.0,59.0
789,Existing,Bayshore Caltrain,South San Francisco Caltrain,20,1,7.0,7,7,60,29.5,0.0,59.0
790,Existing,Bayshore Caltrain,South San Francisco Caltrain,21,1,7.0,7,7,60,29.5,0.0,59.0
791,Existing,Bayshore Caltrain,South San Francisco Caltrain,22,1,7.0,7,7,60,41.5,0.0,95.0
792,Existing,Bayshore Caltrain,South San Francisco Caltrain,24,1,6.0,6,6,16,7.5,0.0,15.0
793,Existing,Bayshore Caltrain,Sunnyvale Caltrain,5,2,67.0,66,68,60,92.0,0.0,215.0
794,Existing,Bayshore Caltrain,Sunnyvale Caltrain,9,1,68.0,68,68,60,28.683333333333334,0.0,58.0
795,Existing,Bayshore Caltrain,Sunnyvale Caltrain,10,1,69.0,69,69,60,29.5,0.0,59.0
796,Existing,Bayshore Caltrain,Sunnyvale Caltrain,11,1,69.0,69,69,60,29.5,0.0,59.0
797,Existing,Bayshore Caltrain,Sunnyvale Caltrain,12,1,69.0,69,69,60,29.5,0.0,59.0
798,Existing,Bayshore Caltrain,Sunnyvale Caltrain,13,1,69.0,69,69,60,29.5,0.0,59.0
799,Existing,Bayshore Caltrain,Sunnyvale Caltrain,14,1,69.0,69,69,60,29.5,0.0,59.0
800,Existing,Bayshore Caltrain,Sunnyvale Caltrain,15,1,73.0,73,73,60,56.166666666666664,0.0,91.0
801,Existing,Bayshore Caltrain,Sunnyvale Caltrain,16,1,66.0,66,66,60,29.8,0.0,60.0
802,Existing,Bayshore Caltrain,Sunnyvale Caltrain,17,1,65.0,65,65,60,29.216666666666665,0.0,58.0
803,Existing,Bayshore Caltrain,Sunnyvale Caltrain,18,1,67.0,67,67,60,28.9,0.0,57.0
804,Existing,Bayshore Caltrain,Sunnyvale Caltrain,19,1,70.0,70,70,60,29.5,0.0,59.0
805,Existing,Bayshore Caltrain,Sunnyvale Caltrain,20,1,70.0,70,70,60,29.5,0.0,59.0
806,Existing,Bayshore Caltrain,Sunnyvale Caltrain,21,1,70.0,70,70,60,29.5,0.0,59.0
807,Existing,Bayshore Caltrain,Sunnyvale Caltrain,22,1,70.0,70,70,60,41.5,0.0,95.0
808,Existing,Bayshore Caltrain,Sunnyvale Caltrain,24,1,70.0,70,70,16,7.5,0.0,15.0
809,Existing,Bayshore Caltrain,Tamien Caltrain,5,1,96.0,96,96,60,244.08333333333334,0.0,574.0
810,Existing,Bayshore Caltrain,Tamien Caltrain,15,1,101.0,101,101,60,107.0,0.0,152.0
811,Existing,Bayshore Caltrain,Tamien Caltrain,17,1,89.0,89,89,60,62.65,0.0,176.0
812,Existing,Bayshore Caltrain,Tamien Caltrain,20,1,92.0,92,92,60,29.5,0.0,59.0
813,Existing,Bayshore Caltrain,Tamien Caltrain,21,1,92.0,92,92,40,19.5,0.0,39.0
814,Existing,Belmont Caltrain,22nd Street Caltrain,5,2,39.5,39,40,60,20.483333333333334,0.0,74.0
815,Existing,Belmont Caltrain,22nd Street Caltrain,7,1,43.0,43,43,60,32.1,0.0,62.0
816,Existing,Belmont Caltrain,22nd Street Caltrain,8,1,43.0,43,43,60,25.416666666666668,0.0,54.0
817,Existing,Belmont Caltrain,22nd Street Caltrain,9,1,40.0,40,40,60,29.5,0.0,59.0
818,Existing,Belmont Caltrain,22nd Street Caltrain,10,1,39.0,39,39,60,27.7,0.0,57.0
819,Existing,Belmont Caltrain,22nd Street Caltrain,11,1,38.0,38,38,60,29.5,0.0,59.0
820,Existing,Belmont Caltrain,22nd Street Caltrain,12,1,38.0,38,38,60,29.5,0.0,59.0
821,Existing,Belmont Caltrain,22nd Street Caltrain,13,1,38.0,38,38,60,29.5,0.0,59.0
822,Existing,Belmont Caltrain,22nd Street Caltrain,14,1,38.0,38,38,60,29.5,0.0,59.0
823,Existing,Belmont Caltrain,22nd Street Caltrain,15,1,40.0,40,40,60,32.3,0.0,62.0
824,Existing,Belmont Caltrain,22nd Street Caltrain,16,2,41.5,40,43,60,24.316666666666666,0.0,57.0
825,Existing,Belmont Caltrain,22nd Street Caltrain,17,1,43.0,43,43,60,29.5,0.0,59.0
826,Existing,Belmont Caltrain,22nd Street Caltrain,18,1,43.0,43,43,60,32.3,0.0,71.0
827,Existing,Belmont Caltrain,22nd Street Caltrain,19,1,39.0,39,39,60,28.766666666666666,0.0,57.0
828,Existing,Belmont Caltrain,22nd Street Caltrain,20,1,38.0,38,38,60,29.5,0.0,59.0
829,Existing,Belmont Caltrain,22nd Street Caltrain,21,1,38.0,38,38,60,29.5,0.0,59.0
830,Existing,Belmont Caltrain,22nd Street Caltrain,22,1,38.0,38,38,60,23.9,0.0,45.0
831,Existing,Belmont Caltrain,22nd Street Caltrain,23,1,37.0,37,37,22,10.5,0.0,21.0
832,Existing,Belmont Caltrain,Bayshore Caltrain,5,2,33.5,33,34,60,20.483333333333334,0.0,74.0
833,Existing,Belmont Caltrain,Bayshore Caltrain,7,1,34.0,34,34,60,32.1,0.0,62.0
834,Existing,Belmont Caltrain,Bayshore Caltrain,8,1,35.0,35,35,60,25.416666666666668,0.0,54.0
835,Existing,Belmont Caltrain,Bayshore Caltrain,9,1,34.0,34,34,60,29.5,0.0,59.0
836,Existing,Belmont Caltrain,Bayshore Caltrain,10,1,33.0,33,33,60,27.7,0.0,57.0
837,Existing,Belmont Caltrain,Bayshore Caltrain,11,1,32.0,32,32,60,29.5,0.0,59.0
838,Existing,Belmont Caltrain,Bayshore Caltrain,12,1,32.0,32,32,60,29.5,0.0,59.0
839,Existing,Belmont Caltrain,Bayshore Caltrain,13,1,32.0,32,32,60,29.5,0.0,59.0
