TOD,Scenario,Station_Name,Ridership_Number,count_journey_time,per_train,lat,lon
ev,Ridership_2040_HSR2,Tamien,237,23,10.304347826086957,37.31274326682811,-121.88475697613043
ev,Ridership_2040_HSR2,Transbay,1229,28,43.892857142857146,37.789051867125714,-122.39702424974188
ev,Ridership_2040_high,22nd St,3940,50,78.8,37.757576360740146,-122.39241209707016
ev,Ridership_2040_high,4th and King,3831,50,76.62,37.77673761681249,-122.39494716886722
ev,Ridership_2040_high,Atherton,4200,34,123.52941176470588,37.46447556254199,-122.19767440578178
ev,Ridership_2040_high,Bayshore,3424,50,68.48,37.707716194010786,-122.40181692100869
ev,Ridership_2040_high,Belmont,3877,26,149.1153846153846,37.52120335901958,-122.27624353516848
ev,Ridership_2040_high,Blossom Hill,462,36,12.833333333333334,37.252451211010396,-121.79772696072882
ev,Ridership_2040_high,Broadway,3611,34,106.20588235294117,37.58728824070041,-122.36206316363042
ev,Ridership_2040_high,Burlingame,3586,34,105.47058823529412,37.579784239598354,-122.34406869702896
ev,Ridership_2040_high,California Ave,3117,33,94.45454545454545,37.428924920324114,-122.14130909428673
ev,Ridership_2040_high,Capitol,681,36,18.916666666666668,37.28400149341915,-121.84184124217718
